Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Outlaws,binder,Prairie Dog,OTJ,Outlaws of Thunder Junction,24,foil,uncommon,1,93121,37302b5d-e528-4baa-947a-c859e4ddcff9,0.11,false,false,near_mint,en,USD
Outlaws,binder,Omenport Vigilante,OTJ,Outlaws of Thunder Junction,21,foil,uncommon,1,93233,7ecd8b6f-b9aa-466a-909c-3209beef8244,0.04,false,false,near_mint,en,USD
